101,103,0,0,
58,88,-38,-20,
50,67,-42,-90,
54,63,60,46,
56,0,20,48,
23,40,-80,-95,
28,102,1,79,
26,72,-96,46,
38,22,-90,19,
80,29,38,80,
13,47,-67,-15,
7,74,62,-21,
61,102,65,-6,
72,57,-56,37,
96,60,-61,44,
68,31,20,-72,
65,6,-41,22,
48,8,-43,66,
69,15,-31,-17,
97,37,85,6,
10,26,49,5,
40,7,-89,-73,
48,99,31,-73,
57,34,64,35,
2,34,90,24,
28,81,-95,92,
92,84,5,47,
67,32,-29,-21,
47,83,-4,96,
33,98,44,-68,
39,70,-93,67,
81,14,29,91,
69,42,-72,-43,
58,96,6,-73,
31,60,-17,41,
73,79,-22,72,
83,72,18,-27,
64,21,-84,81,
14,2,35,-22,
91,27,5,73,
11,9,94,-68,
80,96,82,27,
24,97,47,-37,
55,84,-89,51,
70,89,90,91,
97,93,18,90,
51,1,-39,-86,
88,61,74,-93,
60,51,20,-25,
45,22,-36,45,
53,75,7,-5,
65,98,60,-83,
22,57,-81,11,
82,19,26,-71,
64,13,-83,94,
92,53,-20,72,
21,43,74,-77,
76,94,-96,-30,
42,52,-2,-7,
91,13,-69,-32,
6,1,84,-40,
87,38,-21,96,
62,13,66,17,
13,100,-56,94,
99,16,-22,-21,
2,55,8,66,
37,59,-93,-26,
67,78,-84,59,
85,37,77,-56,
5,86,45,82,
63,68,24,60,
89,16,30,45,
88,87,-21,15,
79,8,-18,27,
96,28,-20,-25,
13,19,-10,-25,
0,100,-23,-55,
24,7,95,-55,
46,37,57,-51,
18,67,-54,-46,
36,32,-51,6,
81,14,-26,17,
30,68,78,35,
31,5,-47,-37,
31,57,-22,83,
14,40,85,42,
96,74,86,-65,
89,102,57,-62,
99,3,83,79,
96,22,-76,-81,
32,34,-49,83,
3,7,85,17,
12,31,-12,-17,
2,26,33,40,
83,90,-32,-8,
47,1,59,-55,
9,84,-63,20,
80,39,37,-41,
94,40,-20,-38,
100,90,-69,-52,
81,30,66,-90,
40,20,5,-9,
13,102,89,43,
3,82,-64,79,
14,8,-57,70,
43,63,49,93,
92,31,6,-3,
89,51,32,3,
65,90,-27,59,
23,23,-45,-6,
89,69,18,-37,
7,16,89,-45,
47,59,-40,77,
31,14,-48,-58,
33,49,59,-46,
61,60,13,26,
69,78,13,-76,
8,70,-25,53,
0,75,32,45,
50,33,7,-97,
84,75,-99,-36,
4,41,-16,-27,
18,64,-75,-35,
86,36,20,-15,
49,64,-90,-98,
24,45,-95,-34,
61,30,-35,19,
19,30,-7,6,
53,26,-58,27,
20,31,43,-35,
50,55,-27,-84,
36,2,56,66,
85,93,-23,-42,
14,16,-6,22,
26,61,28,-3,
12,42,91,21,
32,63,8,-28,
60,75,-94,-16,
12,102,-16,27,
16,20,-15,-50,
65,77,-85,-34,
81,15,80,-99,
11,16,42,-81,
75,83,-36,-6,
47,44,26,-94,
22,60,98,85,
30,43,-5,37,
55,75,8,23,
49,92,-63,38,
67,94,-74,-6,
76,2,-71,40,
29,73,-34,63,
67,65,43,7,
72,87,72,-57,
19,50,-65,-4,
78,25,-90,97,
60,98,40,53,
71,83,20,-21,
23,28,-8,-71,
1,98,34,-29,
97,61,99,-27,
17,65,32,-28,
